item,source_id,class,country,analyser,timestamp,menu,title,count
9003,16466,9003003,afghanistan,Sax,2023-01-31 02:56:29+00:00,geometry,{{0.key}}={{0.value}} on a node. Should be drawn as an area.,23885
9001,16466,9001001,afghanistan,Sax,2023-01-31 02:56:29+00:00,combinations,missing tag,5800
1190,33546,20,afghanistan,Osmosis_Way_Approximate,2023-01-31 02:56:29+00:00,approximate way,Approximate geometry of waterway,4340
7040,16476,1,afghanistan,Osmosis_Powerline,2023-01-31 02:56:29+00:00,power lines,Lone power tower or pole,2809
1210,32785,4,afghanistan,Osmosis_Highway_Floating_Islands,2023-01-31 02:56:29+00:00,not-connected highway/cycleway,Small highway group apart from the main network or with insufficient access upstream,2747
1230,16498,5,afghanistan,Osmosis_Duplicated_Geotag,2023-01-31 02:56:29+00:00,duplicate geometry,Duplicated node without tag,1976
1250,16501,2,afghanistan,Osmosis_Highway_Bad_Intersection,2023-01-31 02:56:29+00:00,objects intersection,Intersection of unrelated highway and waterway objects,1485
1150,16482,3,afghanistan,Osmosis_Polygon_Overlaps,2023-01-31 02:56:29+00:00,surface intersection,Area intersection `landuse`,1343
1070,16474,4,afghanistan,Osmosis_Highway_VS_Building,2023-01-31 02:56:29+00:00,objects overlap,Highway intersecting small water piece,1328
5070,16466,50701,afghanistan,Sax,2023-01-31 02:56:29+00:00,invalid character,Some value chars does not match the language charset,1137
1310,438506,1,afghanistan,Osmosis_Building_In_Polygon,2023-01-31 02:56:29+00:00,building landuse,Building on agricultural land,1064
1220,16497,3,afghanistan,Osmosis_Waterway,2023-01-31 02:56:29+00:00,waterway,Unconnected stream or wrong way flow,1004
1070,16474,2,afghanistan,Osmosis_Highway_VS_Building,2023-01-31 02:56:29+00:00,objects overlap,Tree intersecting building,933
3100,438507,3,afghanistan,Osmosis_Polygon_Small,2023-01-31 02:56:29+00:00,small poly,Small farm,919
0,16472,2,afghanistan,Osmosis_Building_Overlaps,2023-01-31 02:56:29+00:00,overlapping building,Large building intersection,891
1140,16483,2,afghanistan,Osmosis_Useless,2023-01-31 02:56:29+00:00,missing tag or role,Missing tag or role on way,852
4061,16466,40610,afghanistan,Sax,2023-01-31 02:56:29+00:00,fixme review,Object needs review,599
1070,16474,5,afghanistan,Osmosis_Highway_VS_Building,2023-01-31 02:56:29+00:00,objects overlap,Highway intersecting large water piece,591
1070,16474,1,afghanistan,Osmosis_Highway_VS_Building,2023-01-31 02:56:29+00:00,objects overlap,Highway intersecting building,575
1120,16480,3,afghanistan,Osmosis_Highway_Broken_Level_Continuity,2023-01-31 02:56:29+00:00,broken highway continuity,Broken highway level continuity,543
2020,16466,804,afghanistan,Sax,2023-01-31 02:56:29+00:00,elevation,Missing altitude,435
0,16472,1,afghanistan,Osmosis_Building_Overlaps,2023-01-31 02:56:29+00:00,overlapping building,Building intersection,397
3200,16466,32002,afghanistan,Sax,2023-01-31 02:56:29+00:00,area,Untagged area object,347
1220,16497,2,afghanistan,Osmosis_Waterway,2023-01-31 02:56:29+00:00,waterway,Unconnected river or wrong way flow,319
9002,16466,9002007,afghanistan,Sax,2023-01-31 02:56:29+00:00,deprecated,{{0.key}}={{0.value}} is unspecific. Please replace ''{{0.value}}'' by a specific value.,290
4061,16466,40611,afghanistan,Sax,2023-01-31 02:56:29+00:00,fixme review,Highway classification needs review,280
9004,16466,9004004,afghanistan,Sax,2023-01-31 02:56:29+00:00,highway,Unspecific highway type,280
9001,16466,9001002,afghanistan,Sax,2023-01-31 02:56:29+00:00,combinations,suspicious tag combination,247
1270,27658,1,afghanistan,Osmosis_Highway_Almost_Junction,2023-01-31 02:56:29+00:00,almost junction,"Almost junction, join or use noexit tag",229
5010,16466,903,afghanistan,Sax,2023-01-31 02:56:29+00:00,orthograph,Too many spaces,225
9006,16466,9006024,afghanistan,Sax,2023-01-31 02:56:29+00:00,numeric,unusual value of {{0.key}}: use abbreviation for unit and space between value and unit,222
0,16472,4,afghanistan,Osmosis_Building_Overlaps,2023-01-31 02:56:29+00:00,overlapping building,Gap between buildings,215
5070,16466,50702,afghanistan,Sax,2023-01-31 02:56:29+00:00,invalid character,Non printable char,213
9002,16466,9002001,afghanistan,Sax,2023-01-31 02:56:29+00:00,deprecated,deprecated tagging,212
1090,33545,3,afghanistan,Osmosis_Highway_CulDeSac_Level,2023-01-31 02:56:29+00:00,sudden highway type change,Sudden highway type change (level 3),209
2110,16466,21101,afghanistan,Sax,2023-01-31 02:56:29+00:00,missing object kind,Untagged named object,181
1070,16474,3,afghanistan,Osmosis_Highway_VS_Building,2023-01-31 02:56:29+00:00,objects overlap,Tree and highway too close,175
4020,16466,101,afghanistan,Sax,2023-01-31 02:56:29+00:00,on junction=roundabout,Unneeded tag on junction=roundabout,164
4110,16466,41108,afghanistan,Sax,2023-01-31 02:56:29+00:00,incorrect layer,Long Waterway/water underground and no tunnel,148
3040,16466,3040,afghanistan,Sax,2023-01-31 02:56:29+00:00,incorrect tag,Bad tag value,132
9100,16466,91003,afghanistan,Sax,2023-01-31 02:56:29+00:00,power transformer,Power Transformers should have a frequency tag,131
1070,16474,6,afghanistan,Osmosis_Highway_VS_Building,2023-01-31 02:56:29+00:00,objects overlap,Power object intersecting building,126
9006,16466,9006021,afghanistan,Sax,2023-01-31 02:56:29+00:00,numeric,Unnecessary amount of decimal places,125
2060,16478,19,afghanistan,Osmosis_Relation_AssociatedStreet,2023-01-31 02:56:29+00:00,street numbers,"Tag ""addr:street"" not matching a street name around",122
3040,16466,30404,afghanistan,Sax,2023-01-31 02:56:29+00:00,incorrect tag,Uncommon access value,118
1170,16466,11704,afghanistan,Sax,2023-01-31 02:56:29+00:00,multipolygon,This multipolygon is a simple polygon,106
1170,16484,2,afghanistan,Osmosis_Relation_Multipolygon,2023-01-31 02:56:29+00:00,multipolygon,Inconsistent multipolygon nature with members nature,103
7040,16476,5,afghanistan,Osmosis_Powerline,2023-01-31 02:56:29+00:00,power lines,Missing power tower or pole,102
9010,16466,9010001,afghanistan,Sax,2023-01-31 02:56:29+00:00,unnecessary,unnecessary tag,97
1190,33546,30,afghanistan,Osmosis_Way_Approximate,2023-01-31 02:56:29+00:00,approximate way,Approximate geometry of highway,97
4090,16486,1,afghanistan,Osmosis_Node_Like_Way,2023-01-31 02:56:29+00:00,unwanted tag on node,Way node tagged like way,94
4010,16466,40102,afghanistan,Sax,2023-01-31 02:56:29+00:00,disused,Deprecated value,94
3200,16466,32003,afghanistan,Sax,2023-01-31 02:56:29+00:00,area,Redundant area negation,93
3060,16466,30601,afghanistan,Sax,2023-01-31 02:56:29+00:00,similar values,Similar values,92
3031,16466,30317,afghanistan,Sax,2023-01-31 02:56:29+00:00,wikipedia,Same wikipedia topic on other language,81
1070,16474,8,afghanistan,Osmosis_Highway_VS_Building,2023-01-31 02:56:29+00:00,objects overlap,Highway intersecting highway,75
5030,16466,705,afghanistan,Sax,2023-01-31 02:56:29+00:00,two names,The name tag contains two names,69
2060,16466,10,afghanistan,Sax,2023-01-31 02:56:29+00:00,street numbers,Invalid addr:housenumber value,64
5010,16466,50109001,afghanistan,Sax,2023-01-31 02:56:29+00:00,orthograph,Arabic letter detected in Farsi name,64
2060,16478,1,afghanistan,Osmosis_Relation_AssociatedStreet,2023-01-31 02:56:29+00:00,street numbers,"addr:housenumber or addr:housename without addr:street, addr:district, addr:neighbourhood, addr:quarter, addr:suburb, addr:place or addr:hamlet must be in a associatedStreet relation",62
2140,16466,21411,afghanistan,Sax,2023-01-31 02:56:29+00:00,public_transport route,Missing public_transport tag on a public transport stop,60
7040,16476,2,afghanistan,Osmosis_Powerline,2023-01-31 02:56:29+00:00,power lines,Unfinished power major line,57
3161,16500,2,afghanistan,Osmosis_Parking_highway,2023-01-31 02:56:29+00:00,parking lane,Missing access way to parking,57
1170,16484,4,afghanistan,Osmosis_Relation_Multipolygon,2023-01-31 02:56:29+00:00,multipolygon,"Should be polygon, part of multipolygon or not having area tag",47
1070,16474,7,afghanistan,Osmosis_Highway_VS_Building,2023-01-31 02:56:29+00:00,objects overlap,Power object and highway too close,46
3190,16466,31901,afghanistan,Sax,2023-01-31 02:56:29+00:00,postcode,Invalid postcode,42
1230,16498,3,afghanistan,Osmosis_Duplicated_Geotag,2023-01-31 02:56:29+00:00,duplicate geometry,Duplicated node geometry and tags,42
1120,16480,2,afghanistan,Osmosis_Highway_Broken_Level_Continuity,2023-01-31 02:56:29+00:00,broken highway continuity,Broken highway level continuity,41
