,item,source_id,class,country,analyser,timestamp,menu,title,count
0,9001,16466,9001001,afghanistan,Sax,2025-01-04 03:23:44+00:00,combinations,missing tag,6282
1,1190,33546,20,afghanistan,Osmosis_Way_Approximate,2025-01-04 03:23:44+00:00,approximate way,Approximate geometry of waterway,4011
2,7040,16476,1,afghanistan,Osmosis_Powerline,2025-01-04 03:23:44+00:00,power lines,Lone power tower or pole,3315
3,1210,32785,4,afghanistan,Osmosis_Highway_Floating_Islands,2025-01-04 03:23:44+00:00,not-connected highway/cycleway,Small highway group apart from the main network or with insufficient access upstream,2669
4,1070,16474,4,afghanistan,Osmosis_Highway_VS_Building,2025-01-04 03:23:44+00:00,objects overlap,Highway intersecting small water piece,2574
5,2110,16466,21101,afghanistan,Sax,2025-01-04 03:23:44+00:00,missing object kind,Untagged named object,1892
6,1230,16498,5,afghanistan,Osmosis_Duplicated_Geotag,2025-01-04 03:23:44+00:00,duplicate geometry,Duplicated node without tag,1785
7,1250,16501,2,afghanistan,Osmosis_Highway_Bad_Intersection,2025-01-04 03:23:44+00:00,objects intersection,Intersection of unrelated highway and waterway objects,1764
8,1310,438506,1,afghanistan,Osmosis_Building_In_Polygon,2025-01-04 03:23:44+00:00,building landuse,Building on agricultural land,1542
9,1150,16482,3,afghanistan,Osmosis_Polygon_Overlaps,2025-01-04 03:23:44+00:00,surface intersection,Area intersection `landuse`,1280
10,5070,16466,50701,afghanistan,Sax,2025-01-04 03:23:44+00:00,invalid character,Some characters don't match the language charset,1131
11,1220,16497,3,afghanistan,Osmosis_Waterway,2025-01-04 03:23:44+00:00,waterway,Unconnected stream or wrong way flow,1126
12,3030,16466,467520078,afghanistan,Sax,2025-01-04 03:23:44+00:00,tagwatch cleaner,value,1100
13,1070,16474,5,afghanistan,Osmosis_Highway_VS_Building,2025-01-04 03:23:44+00:00,objects overlap,Highway intersecting large water piece,1040
14,1070,16474,2,afghanistan,Osmosis_Highway_VS_Building,2025-01-04 03:23:44+00:00,objects overlap,Tree intersecting building,994
15,3100,438507,3,afghanistan,Osmosis_Polygon_Small,2025-01-04 03:23:44+00:00,small land use,Small farm,921
16,1140,16483,2,afghanistan,Osmosis_Useless,2025-01-04 03:23:44+00:00,missing tag or role,Missing tag or role on way,912
17,1070,16474,1,afghanistan,Osmosis_Highway_VS_Building,2025-01-04 03:23:44+00:00,objects overlap,Highway intersecting building,861
18,0,16472,2,afghanistan,Osmosis_Building_Overlaps,2025-01-04 03:23:44+00:00,overlapping building,Large building intersection,819
19,0,16472,1,afghanistan,Osmosis_Building_Overlaps,2025-01-04 03:23:44+00:00,overlapping building,Building intersection,688
20,4061,16466,40610,afghanistan,Sax,2025-01-04 03:23:44+00:00,fixme review,Object needs review,682
21,1120,16480,3,afghanistan,Osmosis_Highway_Broken_Level_Continuity,2025-01-04 03:23:44+00:00,broken highway continuity,Broken highway level continuity,651
22,4070,16466,4070,afghanistan,Sax,2025-01-04 03:23:44+00:00,construction,Finished construction,619
23,9002,16466,9002007,afghanistan,Sax,2025-01-04 03:23:44+00:00,deprecated,{{0.key}}={{0.value}} is unspecific. Please replace '{{0.value}}' by a specific value.,462
24,2020,16466,804,afghanistan,Sax,2025-01-04 03:23:44+00:00,elevation,Missing altitude,445
25,1220,16497,2,afghanistan,Osmosis_Waterway,2025-01-04 03:23:44+00:00,waterway,Unconnected river or wrong way flow,366
26,3200,16466,32002,afghanistan,Sax,2025-01-04 03:23:44+00:00,area,Untagged area object,330
27,1270,27658,1,afghanistan,Osmosis_Highway_Almost_Junction,2025-01-04 03:23:44+00:00,almost junction,"Almost junction, join or use noexit tag",309
28,9001,16466,9001002,afghanistan,Sax,2025-01-04 03:23:44+00:00,combinations,suspicious tag combination,279
29,0,16472,4,afghanistan,Osmosis_Building_Overlaps,2025-01-04 03:23:44+00:00,overlapping building,Gap between buildings,267
30,9002,16466,9002001,afghanistan,Sax,2025-01-04 03:23:44+00:00,deprecated,deprecated tagging,246
31,1090,33545,3,afghanistan,Osmosis_Highway_CulDeSac_Level,2025-01-04 03:23:44+00:00,sudden highway type change,Sudden highway type change (level 3),235
