menu,afghanistan,bangladesh,bhutan,brunei,cambodia,east_timor,fiji,kiribati,laos,malaysia,micronesia,myanmar,nepal,pakistan,papua_new_guinea,solomon_islands,sri_lanka,syria,tonga,uzbekistan,vanuatu,vietnam,yemen,india,indonesia,Total,Fetched_date
1-member relation,5.0,64.0,5.0,4.0,13.0,1.0,5.0,12.0,6.0,120.0,26.0,33.0,40.0,70.0,6.0,0.0,25.0,9.0,2.0,277.0,1.0,86.0,8.0,1642.0,380.0,2840.0,2024-09-08 06:21:33.138713
URL,8.0,132.0,45.0,8.0,81.0,3.0,2.0,3.0,44.0,175.0,0.0,67.0,643.0,112.0,0.0,1.0,59.0,17.0,1.0,137.0,3.0,180.0,37.0,1834.0,779.0,4371.0,2024-09-08 06:21:33.138713
access,46.0,189.0,24.0,477.0,62.0,4.0,5.0,7.0,51.0,5211.0,1.0,138.0,171.0,759.0,45.0,1.0,617.0,116.0,2.0,221.0,7.0,6322.0,65.0,4500.0,2846.0,21887.0,2024-09-08 06:21:33.138713
addresses,9.0,1490.0,27.0,59.0,45.0,39.0,141.0,3.0,10.0,837.0,0.0,178.0,486.0,1110.0,3.0,0.0,508.0,11.0,0.0,283.0,5.0,591.0,35.0,16499.0,1623.0,23992.0,2024-09-08 06:21:33.138713
almost junction,302.0,1959.0,16.0,17.0,191.0,23.0,14.0,0.0,107.0,1278.0,1.0,1120.0,545.0,3777.0,22.0,23.0,416.0,232.0,10.0,527.0,6.0,3145.0,83.0,30672.0,6073.0,50559.0,2024-09-08 06:21:33.138713
approximate way,4146.0,2824.0,112.0,90.0,2842.0,83.0,118.0,1.0,2520.0,4999.0,5.0,13179.0,794.0,10585.0,9167.0,244.0,435.0,1345.0,0.0,1362.0,84.0,6073.0,4129.0,35080.0,26692.0,126909.0,2024-09-08 06:21:33.138713
area,425.0,11399.0,14.0,87.0,32.0,100.0,115.0,8.0,136.0,343.0,5.0,2620.0,1981.0,664.0,149.0,8.0,928.0,335.0,6.0,371.0,45.0,634.0,61.0,12117.0,4391.0,36974.0,2024-09-08 06:21:33.138713
bad *_link highway,10.0,47.0,0.0,0.0,13.0,0.0,0.0,0.0,10.0,70.0,0.0,12.0,15.0,187.0,2.0,0.0,7.0,10.0,0.0,80.0,0.0,1560.0,6.0,1953.0,1982.0,5964.0,2024-09-08 06:21:33.138713
bad source tag,1.0,21.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,128.0,184.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,8.0,0.0,266.0,55.0,679.0,2024-09-08 06:21:33.138713
bad tag key,0.0,125.0,4.0,0.0,2.0,0.0,63.0,0.0,1.0,5.0,0.0,255.0,4025.0,373.0,1.0,18.0,7.0,5.0,0.0,45.0,39.0,53.0,3.0,154.0,7.0,5185.0,2024-09-08 06:21:33.138713
bicycle infrastructure,0.0,19.0,0.0,3.0,12.0,0.0,3.0,1.0,246.0,676.0,0.0,20.0,1.0,20.0,2.0,0.0,3.0,0.0,0.0,15.0,0.0,244.0,0.0,195.0,475.0,1935.0,2024-09-08 06:21:33.138713
big relation,4.0,20.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,2.0,19.0,0.0,0.0,14.0,5.0,0.0,15.0,0.0,12.0,0.0,377.0,19.0,504.0,2024-09-08 06:21:33.138713
boundary intersect,2.0,35.0,14.0,0.0,4.0,0.0,0.0,0.0,0.0,11.0,0.0,9.0,10.0,188.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,51.0,2.0,1051.0,564.0,1943.0,2024-09-08 06:21:33.138713
brand in name,0.0,645.0,14.0,103.0,122.0,6.0,11.0,0.0,157.0,624.0,1.0,198.0,240.0,334.0,532.0,0.0,682.0,14.0,5.0,713.0,2.0,1811.0,16.0,9934.0,7237.0,23401.0,2024-09-08 06:21:33.138713
