menu,afghanistan,bangladesh,bhutan,cambodia,fiji,kiribati,malaysia,myanmar,nepal,pakistan,papua_new_guinea,philippines,solomon_islands,sri_lanka,tonga,uzbekistan,vanuatu,yemen
1-member relation,5.0,60.0,5.0,16.0,5.0,11.0,149.0,36.0,41.0,44.0,4.0,92.0,0.0,18.0,2.0,223.0,1.0,7.0
URL,8.0,178.0,47.0,99.0,6.0,1.0,193.0,80.0,777.0,96.0,0.0,269.0,0.0,71.0,2.0,158.0,4.0,30.0
access,6.0,121.0,24.0,30.0,2.0,7.0,4123.0,77.0,119.0,509.0,38.0,591.0,1.0,556.0,2.0,64.0,4.0,3.0
addresses,7.0,1354.0,44.0,40.0,144.0,1.0,451.0,171.0,460.0,991.0,2.0,514.0,0.0,373.0,0.0,267.0,6.0,32.0
almost junction,229.0,2065.0,23.0,201.0,8.0,1.0,1119.0,848.0,1001.0,2916.0,3.0,882.0,22.0,529.0,4.0,501.0,6.0,62.0
approximate way,4440.0,2788.0,128.0,2989.0,92.0,1.0,5273.0,13803.0,777.0,9766.0,10765.0,2494.0,259.0,430.0,0.0,1385.0,89.0,28.0
area,440.0,11608.0,15.0,30.0,142.0,11.0,396.0,2674.0,2540.0,685.0,149.0,10207.0,9.0,1065.0,3.0,384.0,114.0,62.0
bad *_link highway,2.0,37.0,2.0,7.0,0.0,0.0,63.0,10.0,7.0,219.0,0.0,39.0,0.0,2.0,0.0,13.0,0.0,0.0
bad source tag,1.0,14.0,0.0,4.0,0.0,0.0,7.0,2.0,5.0,7.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0
bad tag key,12.0,284.0,4.0,2.0,94.0,0.0,5.0,238.0,4103.0,350.0,1.0,150.0,18.0,10.0,0.0,44.0,40.0,2.0
big relation,4.0,19.0,8.0,3.0,0.0,0.0,5.0,2.0,13.0,22.0,0.0,19.0,0.0,14.0,0.0,9.0,0.0,0.0
boundary intersect,3.0,35.0,14.0,0.0,0.0,0.0,6.0,3.0,17.0,104.0,0.0,34.0,0.0,0.0,0.0,1.0,0.0,0.0
brand in name,0.0,601.0,2.0,124.0,13.0,0.0,610.0,193.0,249.0,308.0,548.0,11994.0,0.0,763.0,6.0,621.0,2.0,12.0
bridge to tag,5.0,139.0,0.0,16.0,0.0,0.0,476.0,71.0,8.0,293.0,2.0,66.0,0.0,69.0,0.0,49.0,0.0,0.0
broken highway continuity,590.0,1200.0,47.0,17.0,0.0,2.0,558.0,392.0,648.0,1443.0,5.0,429.0,5.0,140.0,4.0,153.0,9.0,193.0
building landuse,1064.0,766.0,1510.0,107.0,69.0,3.0,424.0,507.0,35255.0,180.0,189.0,7807.0,17.0,2822.0,50.0,324.0,33.0,153.0
building shape,14.0,46.0,0.0,21.0,6.0,0.0,230.0,29.0,25.0,49.0,3.0,108.0,0.0,21.0,0.0,205.0,3.0,1.0
combinations,6047.0,13347.0,762.0,1504.0,1778.0,92.0,15169.0,10846.0,16721.0,81498.0,2497.0,36654.0,164.0,6138.0,146.0,12753.0,408.0,2181.0
conditional restriction,0.0,3.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,72.0,0.0,3.0,0.0,0.0,0.0,0.0
construction,29.0,47.0,0.0,7.0,0.0,0.0,161.0,23.0,121.0,304.0,0.0,85.0,0.0,7.0,0.0,36.0,0.0,9.0
date,1.0,60.0,0.0,6.0,0.0,0.0,2.0,4.0,5518.0,4.0,0.0,36.0,0.0,1.0,0.0,25.0,0.0,2.0
deprecated,543.0,6152.0,88.0,389.0,328.0,17.0,5644.0,1497.0,6850.0,7059.0,1599.0,80891.0,190.0,7000.0,33.0,8277.0,550.0,405.0
disused,96.0,2237.0,13.0,230.0,62.0,6.0,383.0,1793.0,4688.0,3147.0,16.0,36533.0,15.0,8152.0,1.0,1028.0,8.0,152.0
double cycleway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
